id,question,choice_1,answer_1,choice_2,answer_2,choice_3,answer_3,choice_4,answer_4,choice_5,answer_5,media_exist,media_name,description
1,Qaysi avtomobil uchun bu belgilarning ta'sir oralig'ida to'xtashga ruxsat etiladi?,Qizilga,False,Ikkala avtomobilga,False,Hech qaysi biriga,False,<<Nogiron>> taniqlik belgisi bo'lgan sariq avtomobilga,True,,,True,1,"YHQ 1-ilovasi 3-bo'limi 2-xatboshiga asosan, qoidalarning 174-bandiga ko'ra «Nogiron» taniqlik belgisi o'rnatilgan avtomobil va motokolyaskalarni boshqarayotgan nogiron haydovchilar 3.2, 3.3 va 3.28 belgilari talablaridan chetga chiqishlari mumkin. 7.18 qo'shimcha belgisi bo'lganda 3.27 belgisining ta'sir oralig'ida to'xtashga ruxsat etiladi."
2,Qaysi yo'naltirgichlar bo'ylab harakatlanishga ruxsat etiladi?,Faqat A yo'nalish bo'ylab,False,Faqat B yo'nalish bo'ylab,False,Faqat V yo'nalish bo'ylab,False,Faqat A va G yo'nalishlari bo'ylab,True,Faqat G yo'nalish bo'ylab,False,True,2,"YHQ 1-ilovasi 4-bo'lim 4.1.6-bandining 4-xatboshiga asosan, «Harakatlanish to'g'riga» 4.1.1. belgisi yo'l qismining boshlanishiga o'rnatilsa, unga yaqin chorrahagacha amal qilinadi. Belgi o'ng tomonida joylashgan hovli va boshqa yondosh hududlarga burilishni taqiqlamaydi."
3,Tibbiyot qutichasi va o't o'chirgichi boʻlmagan qanday transport vositalaridan foydalanish taqiqlanadi?,Faqat M1 toifali transport vositasi,False,"Faqat M2, M3; N1 toifali transport vositasi",False,Faqat N2; N3 toifali transport vositasi,False,Barcha yuqorida ko'rsatilgan toifalar,True,,,False,,"YHQ 3-ilova 7.10-bandiga muvofiq, M1, M2, M3, N1, N2, N3 toifasidagi transport vositalarida tibbiyot qutichasi (aptechka), o't o'chirgich, majburiy to'xtaganligini bildiruvchi belgi (falokat taniqlik belgisi) yoki miltillovchi qizil chiroq va nur qaytargichli kamzul (jilet) bo'lishi kerak."
4,Chorrahadan birinchi bo'lib o'tadi,Qizil avtomobil,False,Ko'k avtomobil,False,Sariq avtomobil,False,Yashil avtomobil,True,,,True,4,"YHQ 16-bobi 105-bandiga asosan, teng ahamiyatga ega bo'lgan yo'llar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ng tomondan yaqinlashib kelayotgan transport vositalariga yo'l berishi shart."
5,Harakatlanish taqiqlangan:,Qizil va oq avtomobillarga,False,"Ko'k, yashil va oq avtomobillarga",True,"Oq, ko'k va sariq avtomobillarga",False,,,,,True,5,"YHQ 7-bobi 38-bandiga asosan, tartibga soluvchining qo'llari yon tomonga uzatilganda yoki tushirilganda, chap va oʻng yon tomonidan tramvayga toʻgʻriga, relssiz transport vositalariga to'g'riga va o'ngga harakatlanishga, piyodalarga qatnov qismini kesib o'tishga ruxsat etiladi. Oldi va orqa tomonidan barcha transport vositalari va piyodalarning harakatlanishi taqiqlanadi."
6,Qaysi transport vositasining haydovchisi chorrahadan birinchi boʻlib oʻtadi?,Avtomobil va avtobus haydovchisi,True,Tramvay haydovchisi,False,,,,,,,True,6,"YHQ 15-bobi 100-bandiga asosan, svetoforning qizil yoki sariq ishorasi bilan bir vaqtda yongan qo'shimcha tarmoqning yashil ishorasidagi yo'naltirgich yo'nalishida harakatlanayotgan transport vositasining haydovchisi boshqa yo'nalishlardagi transport vositalariga yo'l berishi kerak"
7,Shu joyda to'xtab turishga ruxsat etiladimi?,Ruxsat etiladi,True,Taqiqlanadi,False,,,,,,,True,7,"YHQ 13-bobi 91-bandiga asosan, quyidagi joylarda to'xtash taqiqlanadi: qatnov qismlari kesishmalarida va kesib o'tilayotgan qatnov qismi chetiga 5 metrdan kamroq masofa qolganda (uch tomonlama kesishmalarda (chorrahalarda) yondosh tutashgan yo'lning sidirg'a chiziq yoki ajratuvchi boʻlak bilan ajratilgan qarama-qarshi tomoni bundan mustasno)."
8,Haydovchi harakatlanishni boshlashdan oldin qanday amallarni bajarishi kerak?,Transport vositasining sozligini va toʻla jihozlanganligini tekshirishi,False,Harakatlanish boshlanishi xavfsiz bo'lishiga va harakatning boshqa ishtirokchilariga xalaqit bermasligiga ishonch hosil qilishi,True,Tegishli yo'nalishdagi burilishning yorug'lik ko'rsatkichi bilan ishora berishi,False,Sanab o'tilgan barcha harakatlarni bajarishi,False,,,False,,"YHQ 9-bobi 53-bandiga asosan, harakatlanishni boshlash, qayta tizilish, burilish (qayrilib olish), yo'nalishini oʻzgartirish va to'xtashdan oldin o'z harakati bilan boshqa transport vositalariga xavf solmayotganligiga va to'sqinlik qilmayotganligiga ishonch hosil qilishi kerak."
9,Umurtqa pog'onasining ko'krak sohasi shikastlangan jabrlanuvchini transportda qanday tashish kerak?,Qattiq taxtada orqasi bilan yotgan holda,True,Yumshoq to'shamada orqasi bilan yotgan holda,False,Qattiq taxtada yoni bilan yotgan holda,False,,,,,False,,"Umurtqa pog'onasi shikastlanganda orqa (umurtqa) miyani jarohatlanishidan saqlab qolish uchun umurtqa pog'onalarining bir-biriga nisbatan siljishini oldini olish muhimdir. Umurtqaning minimal qo'zg'alishini ta'minlash uchun jarohatlangan kishini qattiq tekislikka joylashtirib, uning harakatini imkon darajada cheklash lozim."
10,Bunday taniqlik belgisi bilan belgilanadigan transport vositasi:,Og'ir vaznli va yirik oʻlchamli yuklarni tashuvchi,False,Uzunligi yuk bilan yoki yuksiz 20 metrdan ortiq bo'lgan transport vositasi,True,Furgon yukxonasida odamlarni tashuvchi,False,,,,,True,10,"YHQ 28-bobi 174-bandiga asosan, «Uzun o'lchamli transport vositasi» - yukli yoki yuksiz uzunligi 20 metrdan oshadigan transport vositasining, ikki yoki undan ko'proq tirkamali avtopoyezdlarning orqasiga kengligi 40 millimetr bo'lgan qizil hoshiyali, o'lchami 1200x200 millimetr bo'lgan, transport vositasi tarkibining tasviri tushirilgan sariq rangli to'rtburchak shaklidagi taniqlik belgisi."
